_mj,_mi,idn,country,year,reg_4state,ocbu,ocbu_lag,se_ptrade_i_ocbu,se_high_equity_ocbu,se_eu_ocbu,se_basel_ocbu,se_easia_ocbu,se_cbss_ocbu,cbocb,cbocb_lag,se_ptrade_i_cbocb,se_high_equity_cbocb,se_eu_cbocb,se_basel_cbocb,se_easia_cbocb,se_cbss_cbocb,e_asia,cbss,imf_2,basel_member,gdp_2005_nse,log_gdp,gdp_change,fdi,portfolio_invest,post_warsaw,crisis_base,crisis6,checks,polar,cbg_time_in_office,eu,udems_mean,income_diversity,asset_diversity,dbagdp,netintmargin,concentration,inslife,insnonlife,stmktcap,pr_bur,pr_corrupt,pr_invest,pr_law_order,pr_socio_econ,inf_rr,crrncy_crisis,infltn_crisis,stck_mrkt_crash,svrgn_debt_crisis_dmstc,svrgn_debt_crisis_extrnl,cent_gov_debt_gdp,gen_gov_debt_gdp,ext_debt_gdp,ext_debt_gnp,cent_gov_debt_exports,percent_se_cbss_ocbu,percent_se_eu_ocbu,percent_se_basel_ocbu,NoEvent,event,end,begin
1,2,1,"Afghanistan",1988,1,0,0,0,0,0,0,0,0,0,0,0,.2857143,0,0,0,0,0,0,0,0,4.40003,8.389367,6.986782,-58.34216,0,0,0,0,1,0,2.739941,0,-1.260644,.4616681,.7753492,.6309664,.0985362,.8027201,.0504027,.0088153,1.160206,1.954082,2.544163,8.89564,.8174158,5.847391,418.7236,1,1,1,0,0,205.2929,162.4943,219.1973,206.5379,692.6473,0,0,0,0,,,
1,3,1,"Afghanistan",1989,1,0,0,0,0,0,0,0,0,0,0,0,.5714286,0,0,0,0,0,0,0,0,20.55435,9.930828,11.84703,-98.78543,0,0,0,0,1,0,1.59149,0,-1.287778,.2841725,.7511804,.7372918,.0680456,.9420208,.0053382,.0202693,1.150273,1.804486,2.642069,9.300758,3.760704,8.318122,317.8785,0,0,0,0,1,153.0234,81.39712,122.1184,176.0902,507.7813,0,0,0,0,,,
1,4,1,"Afghanistan",1990,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.09993,9.622445,3.416197,77.55237,110.2131,0,0,0,1,0,7.543129,0,-1.287862,.640481,.917699,.7545781,.0441347,.5370714,.0013843,.0018664,1.276225,1.480452,1.519093,9.870936,3.623505,6.407987,519.8554,1,1,0,0,0,185.565,112.9555,143.3118,124.4617,576.1361,0,0,0,0,,,
1,5,1,"Afghanistan",1991,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.573009,9.166703,4.82024,-.0028,127.4164,0,0,0,1,0,5.561391,0,-1.289918,.5364054,.7984935,.8252163,.062409,.6723866,.0545265,.001718,.9517596,1.66892,1.752653,4.36224,.9241043,5.606806,58.69713,0,1,0,0,0,269.9955,188.8771,374.0728,264.7655,1081.755,0,0,0,0,,,
1,6,1,"Afghanistan",1992,1,0,0,0,0,0,0,0,0,0,0,0,.125,0,0,0,0,0,0,0,0,10.96451,9.30242,4.675942,.0036,87.03877,0,0,0,1,0,4.828634,0,-.5499151,.5823913,.7973466,.8406769,.0351636,.8295828,.0176358,.0157689,.6835455,2.034558,2.324507,8.053658,4.420739,6.661811,353.818,0,0,1,0,0,188.7993,111.968,192.6652,112.4284,739.7542,0,0,0,0,,,
1,7,1,"Afghanistan",1993,1,0,0,0,0,0,0,0,0,0,0,0,.25,0,0,0,0,0,0,0,0,8.343004,9.029179,11.32891,-.0002,125.8833,0,0,0,1,0,3.867192,0,-.7334297,.7072579,.8485276,.5332701,.016192,.4725071,.005136,.001499,.0281534,1.295601,1.749872,3.533624,3.176641,5.752088,175.2443,0,0,0,0,0,102.7638,111.8482,110.0671,69.69372,874.1067,0,0,0,0,,,
1,8,1,"Afghanistan",1994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44433,9.925461,.1844738,.0002,326.2006,0,0,0,1,0,1.03943,0,-.7343491,.4844487,.6592909,.5323924,.1101624,.9259232,.0397095,.0086509,.5289098,.9928607,1.415885,5.386945,1.13482,3.210663,1874.9,0,1,0,0,1,131.3541,127.1871,363.2865,58.89247,144.6295,0,0,0,0,,,
1,9,1,"Afghanistan",1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7613,9.37257,6.699085,-.0009333,248.1769,0,0,0,1,0,1.029462,0,-.7350705,.413719,.5139785,.1336752,.1174945,.6415278,.0036524,.0080934,.3111102,1.535789,2.518433,7.757159,1.669694,4.073033,121.6784,0,0,1,0,1,47.96055,73.86028,81.37343,45.04869,219.5701,0,0,0,0,,,
1,10,1,"Afghanistan",1996,1,0,0,0,0,0,0,0,0,0,0,0,.125,0,0,0,0,0,0,0,0,14.69212,9.595067,-1.081717,.0069,7.52649,0,0,0,1,0,6.047783,0,-1.13915,.559338,.7948262,.4215522,.0476814,.7671955,.008404,.0036883,.4498319,1.95612,3.034327,4.758404,3.756659,5.849478,664.8484,2,0,0,0,0,182.1033,106.665,68.7131,138.0789,445.8645,0,0,0,0,,,
1,11,1,"Afghanistan",1997,1,0,0,0,0,0,0,0,0,0,0,0,.25,0,0,0,0,0,0,0,0,7.303723,8.896139,4.764822,-.0146,101.2869,0,0,0,1,0,4.587455,0,-1.148587,.6559457,.8063879,.2760352,.0549393,.9981135,.0082016,.0160461,.4207729,2.533026,3.540946,5.385339,5.026471,3.936752,-3.667232,1,1,0,0,1,87.44188,128.6062,50.52969,117.2739,280.3887,0,0,0,0,,,
